"V1","V2"
"Christian Speck","Ulrich Giezendanner"
"Christian Waber","Ulrich Giezendanner"
"Christiane Langenberger","Ulrich Giezendanner"
"Christine Egerszegi-Obrist","Ulrich Giezendanner"
"Christoph Blocher","Ulrich Giezendanner"
"Christoph Eymann","Ulrich Giezendanner"
"Claude Frey","Ulrich Giezendanner"
"Daniel Vogel","Ulrich Giezendanner"
"Duri Bezzola","Ulrich Giezendanner"
"Edi Engelberger","Ulrich Giezendanner"
"Emmanuella Blaser","Ulrich Giezendanner"
"Erich Müller","Ulrich Giezendanner"
"Ernst Hasler","Ulrich Giezendanner"
"Ernst Mühlemann","Ulrich Giezendanner"
"Eugen David","Ulrich Giezendanner"
"Flavio Maspoli","Ulrich Giezendanner"
"Franco Donati","Ulrich Giezendanner"
"François Lachat","Ulrich Giezendanner"
"François Loeb","Ulrich Giezendanner"
"Fritz Abraham Oehrli","Ulrich Giezendanner"
"Georg Stucky","Ulrich Giezendanner"
"Georges Theiler","Ulrich Giezendanner"
"Gerold Bührer","Ulrich Giezendanner"
"Hans Fehr","Ulrich Giezendanner"
"Hans Ruckstuhl","Ulrich Giezendanner"
"Hans Rudolf Gysin","Ulrich Giezendanner"
"Hans Steffen","Ulrich Giezendanner"
"Hans Werner Widrig","Ulrich Giezendanner"
"Hanspeter Seiler","Ulrich Giezendanner"
"Hansueli Raggenbass","Ulrich Giezendanner"
"Hermann Weyeneth","Ulrich Giezendanner"
"Hubert Lauper","Ulrich Giezendanner"
"J. Alexander Baumann","Ulrich Giezendanner"
"Jacques-Simon Eggly","Ulrich Giezendanner"
"Jakob Freund","Ulrich Giezendanner"
"Jean-François Leuba","Ulrich Giezendanner"
"Jean-Michel Gros","Ulrich Giezendanner"
"Jean-Nicolas Philipona","Ulrich Giezendanner"
"Jean-Pierre Bonny","Ulrich Giezendanner"
"Johannes Randegger","Ulrich Giezendanner"
"Josef Kühne","Ulrich Giezendanner"
"Josef Kunz","Ulrich Giezendanner"
"Josef Leu","Ulrich Giezendanner"
"Josef Lötscher","Ulrich Giezendanner"
"Jürg Scherrer","Ulrich Giezendanner"
"Karl Tschuppert","Ulrich Giezendanner"
"Käthi Bangerter","Ulrich Giezendanner"
"Lisbeth Fehr","Ulrich Giezendanner"
"Luzi Stamm","Ulrich Giezendanner"
"Manfred Aregger","Ulrich Giezendanner"
"Marcel Sandoz","Ulrich Giezendanner"
"Marguerite Florio","Ulrich Giezendanner"
"Massimo Pini","Ulrich Giezendanner"
"Max Binder","Ulrich Giezendanner"
"Melchior Ehrler","Ulrich Giezendanner"
"Michael E. Dreher","Ulrich Giezendanner"
"Milli Wittenwiler","Ulrich Giezendanner"
"Norbert Hochreutener","Ulrich Giezendanner"
"Oscar Fritschi","Ulrich Giezendanner"
"Otto Hess","Ulrich Giezendanner"
"Peter Baumberger","Ulrich Giezendanner"
"Peter Bircher","Ulrich Giezendanner"
"Peter Föhn","Ulrich Giezendanner"
"Peter Kofmel","Ulrich Giezendanner"
"Peter Weigelt","Ulrich Giezendanner"
"Philippe Pidoux","Ulrich Giezendanner"
"Remigio Ratti","Ulrich Giezendanner"
"Rémy Scheurer","Ulrich Giezendanner"
"René Moser","Ulrich Giezendanner"
"Roland F. Borer","Ulrich Giezendanner"
"Rolf Engler","Ulrich Giezendanner"
"Rolf Hegetschweiler","Ulrich Giezendanner"
"Rosmarie Zapfl","Ulrich Giezendanner"
"Rudolf Imhof","Ulrich Giezendanner"
"Rudolf Keller","Ulrich Giezendanner"
"Rudolf Steiner","Ulrich Giezendanner"
"Ruth Grossenbacher-Schmid","Ulrich Giezendanner"
"Ruth Kalbermatten","Ulrich Giezendanner"
"Samuel Schmid","Ulrich Giezendanner"
"Serge Beck","Ulrich Giezendanner"
"Simon Schenk","Ulrich Giezendanner"
"Theo Fischer","Ulrich Giezendanner"
"Thérèse Meyer-Kaelin","Ulrich Giezendanner"
"Toni Bortoluzzi","Ulrich Giezendanner"
"Toni Brunner","Ulrich Giezendanner"
"Toni Dettling","Ulrich Giezendanner"
"Toni Eberhard","Ulrich Giezendanner"
"Ueli Maurer","Ulrich Giezendanner"
"Ulrich Fischer","Ulrich Giezendanner"
"Christian Speck","Ulrich Schlüer"
"Christoph Blocher","Ulrich Schlüer"
"Ernst Hasler","Ulrich Schlüer"
"Ernst Mühlemann","Ulrich Schlüer"
"Flavio Maspoli","Ulrich Schlüer"
"Hans Fehr","Ulrich Schlüer"
"Hans Rudolf Gysin","Ulrich Schlüer"
"Hans Steffen","Ulrich Schlüer"
"J. Alexander Baumann","Ulrich Schlüer"
"Jean-Michel Gros","Ulrich Schlüer"
"Jean-Pierre Bonny","Ulrich Schlüer"
"Josef Kunz","Ulrich Schlüer"
"Jürg Scherrer","Ulrich Schlüer"
"Max Binder","Ulrich Schlüer"
"Michael E. Dreher","Ulrich Schlüer"
"Otto Hess","Ulrich Schlüer"
"Peter Föhn","Ulrich Schlüer"
"René Moser","Ulrich Schlüer"
"Roland F. Borer","Ulrich Schlüer"
"Rolf Hegetschweiler","Ulrich Schlüer"
"Simon Schenk","Ulrich Schlüer"
"Theo Fischer","Ulrich Schlüer"
"Toni Bortoluzzi","Ulrich Schlüer"
"Toni Brunner","Ulrich Schlüer"
"Toni Dettling","Ulrich Schlüer"
"Ueli Maurer","Ulrich Schlüer"
"Ulrich Giezendanner","Ulrich Schlüer"
"Angeline Fankhauser","Ursula Bäumlin"
"Anita Thanei","Ursula Bäumlin"
"Barbara Haering","Ursula Bäumlin"
"Didier Berberat","Ursula Bäumlin"
"François Borel","Ursula Bäumlin"
"Hans Zbinden","Ursula Bäumlin"
"Jost Gross","Ursula Bäumlin"
"Paul Günter","Ursula Bäumlin"
"Rudolf Strahm","Ursula Bäumlin"
"Ruth-Gaby Vermot-Mangold","Ursula Bäumlin"
"Alexander Tschäppät","Ursula Hafner"
"Andrea Hämmerle","Ursula Hafner"
"Angeline Fankhauser","Ursula Hafner"
"Anita Thanei","Ursula Hafner"
"Armin Jans","Ursula Hafner"
"Barbara Haering","Ursula Hafner"
"Didier Berberat","Ursula Hafner"
"Franco Cavalli","Ursula Hafner"
"François Borel","Ursula Hafner"
"Hans Zbinden","Ursula Hafner"
"Jacqueline Fehr","Ursula Hafner"
"Jean-Claude Rennwald","Ursula Hafner"
"Jean-Michel Gros","Ursula Hafner"
"Jean-Nils de Dardel","Ursula Hafner"
"Jost Gross","Ursula Hafner"
"Maria Bernasconi","Ursula Hafner"
"Peter Jossen-Zinsstag","Ursula Hafner"
"Pierre Chiffelle","Ursula Hafner"
"Rudolf Rechsteiner","Ursula Hafner"
"Rudolf Strahm","Ursula Hafner"
"Ruth-Gaby Vermot-Mangold","Ursula Hafner"
"Agnes Weber","Ursula Leemann"
"Alexander Tschäppät","Ursula Leemann"
"Andrea Hämmerle","Ursula Leemann"
"Andreas Gross","Ursula Leemann"
"Andreas Herczog","Ursula Leemann"
"Angeline Fankhauser","Ursula Leemann"
"Anita Thanei","Ursula Leemann"
"Armin Jans","Ursula Leemann"
"Barbara Haering","Ursula Leemann"
"Boris Banga","Ursula Leemann"
"Christiane Jaquet-Berger","Ursula Leemann"
"Christine Goll","Ursula Leemann"
"Christine Keller","Ursula Leemann"
"Didier Berberat","Ursula Leemann"
"Doris Stump","Ursula Leemann"
"Elmar Ledergerber","Ursula Leemann"
"Ernst Leuenberger","Ursula Leemann"
"Erwin Jutzet","Ursula Leemann"
"Francine Jeanprêtre","Ursula Leemann"
"Franco Cavalli","Ursula Leemann"
"François Borel","Ursula Leemann"
"Fredi Alder","Ursula Leemann"
"Hans Widmer","Ursula Leemann"
"Hans Zbinden","Ursula Leemann"
"Hansueli von Allmen","Ursula Leemann"
"Helmut Hubacher","Ursula Leemann"
"Jacqueline Fehr","Ursula Leemann"
"Jean Spielmann","Ursula Leemann"
"Jean-Claude Rennwald","Ursula Leemann"
"Jean-Nils de Dardel","Ursula Leemann"
"Jost Gross","Ursula Leemann"
"Kathrin Hilber","Ursula Leemann"
"Liliane Maury Pasquier","Ursula Leemann"
"Margrith von Felten","Ursula Leemann"
"Maria Bernasconi","Ursula Leemann"
"Paul Rechsteiner","Ursula Leemann"
"Peter Bodenmann","Ursula Leemann"
"Peter Vollmer","Ursula Leemann"
"Pia Hollenstein","Ursula Leemann"
"Remo Gysin","Ursula Leemann"
"Rosmarie Zapfl","Ursula Leemann"
"Rudolf Rechsteiner","Ursula Leemann"
"Rudolf Strahm","Ursula Leemann"
"Ruth-Gaby Vermot-Mangold","Ursula Leemann"
"Silva Semadeni","Ursula Leemann"
"Stephanie Baumann","Ursula Leemann"
"Ursula Bäumlin","Ursula Leemann"
"Ursula Hafner","Ursula Leemann"
"Rosmarie Zapfl","Verena Diener Lenz"
"Flavio Maspoli","Verena Grendelmeier"
"Jean-Michel Gros","Verena Grendelmeier"
"Jost Gross","Verena Grendelmeier"
"Rosmarie Zapfl","Verena Grendelmeier"
"Alexander Tschäppät","Victor Ruffy"
"Andrea Hämmerle","Victor Ruffy"
"Andreas Gross","Victor Ruffy"
"Angeline Fankhauser","Victor Ruffy"
"Anita Thanei","Victor Ruffy"
"Armin Jans","Victor Ruffy"
"Christian Grobet","Victor Ruffy"
"Christiane Jaquet-Berger","Victor Ruffy"
"Christine Keller","Victor Ruffy"
"Claude Frey","Victor Ruffy"
"Didier Berberat","Victor Ruffy"
"François Borel","Victor Ruffy"
"Hans Zbinden","Victor Ruffy"
"Jacqueline Fehr","Victor Ruffy"
"Jean-Claude Rennwald","Victor Ruffy"
"Jost Gross","Victor Ruffy"
"Maria Bernasconi","Victor Ruffy"
"Peter Vollmer","Victor Ruffy"
"Pia Hollenstein","Victor Ruffy"
"Remo Gysin","Victor Ruffy"
"Rudolf Rechsteiner","Victor Ruffy"
"Rudolf Strahm","Victor Ruffy"
"Ursula Leemann","Victor Ruffy"
"Agnes Weber","Vreni Hubmann"
"Andrea Hämmerle","Vreni Hubmann"
"Andreas Gross","Vreni Hubmann"
"Andreas Herczog","Vreni Hubmann"
"Angeline Fankhauser","Vreni Hubmann"
"Anita Thanei","Vreni Hubmann"
"Armin Jans","Vreni Hubmann"
"Barbara Haering","Vreni Hubmann"
"Cécile Bühlmann","Vreni Hubmann"
"Christine Goll","Vreni Hubmann"
"Christine Keller","Vreni Hubmann"
"Didier Berberat","Vreni Hubmann"
"Doris Stump","Vreni Hubmann"
"Erwin Jutzet","Vreni Hubmann"
"Franco Cavalli","Vreni Hubmann"
"François Borel","Vreni Hubmann"
"Franziska Teuscher","Vreni Hubmann"
"Fredi Alder","Vreni Hubmann"
"Hans Zbinden","Vreni Hubmann"
"Hanspeter Thür","Vreni Hubmann"
"Hansueli von Allmen","Vreni Hubmann"
"Hildegard Fässler-Osterwalder","Vreni Hubmann"
"Jacqueline Fehr","Vreni Hubmann"
"Jean-Claude Rennwald","Vreni Hubmann"
"Jost Gross","Vreni Hubmann"
"Liliane Maury Pasquier","Vreni Hubmann"
"Margrith von Felten","Vreni Hubmann"
"Maria Bernasconi","Vreni Hubmann"
"Paul Günter","Vreni Hubmann"
"Paul Rechsteiner","Vreni Hubmann"
"Peter Vollmer","Vreni Hubmann"
"Pia Hollenstein","Vreni Hubmann"
"Pierre Aguet","Vreni Hubmann"
"Pierre Chiffelle","Vreni Hubmann"
"Regine Aeppli","Vreni Hubmann"
"Remo Gysin","Vreni Hubmann"
"Rosmarie Zapfl","Vreni Hubmann"
"Rudolf Rechsteiner","Vreni Hubmann"
"Rudolf Strahm","Vreni Hubmann"
"Ruth Genner","Vreni Hubmann"
"Ruth-Gaby Vermot-Mangold","Vreni Hubmann"
"Stephanie Baumann","Vreni Hubmann"
"Thomas Burgener","Vreni Hubmann"
"Ursula Hafner","Vreni Hubmann"
"Ursula Leemann","Vreni Hubmann"
"Victor Ruffy","Vreni Hubmann"
"Andreas Gross","Vreni Müller-Hemmi"
"Angeline Fankhauser","Vreni Müller-Hemmi"
"Anita Thanei","Vreni Müller-Hemmi"
"Armin Jans","Vreni Müller-Hemmi"
"Barbara Haering","Vreni Müller-Hemmi"
"Christian Grobet","Vreni Müller-Hemmi"
"Didier Berberat","Vreni Müller-Hemmi"
"François Borel","Vreni Müller-Hemmi"
"Hans Zbinden","Vreni Müller-Hemmi"
"Jacqueline Fehr","Vreni Müller-Hemmi"
"Paul Günter","Vreni Müller-Hemmi"
"Peter Vollmer","Vreni Müller-Hemmi"
"Remo Gysin","Vreni Müller-Hemmi"
"Rosmarie Zapfl","Vreni Müller-Hemmi"
"Rudolf Strahm","Vreni Müller-Hemmi"
"Ruth-Gaby Vermot-Mangold","Vreni Müller-Hemmi"
"Ursula Leemann","Vreni Müller-Hemmi"
"Vreni Hubmann","Vreni Müller-Hemmi"
"Flavio Maspoli","Walter Bosshard"
"Hans Fehr","Walter Bosshard"
"Hans Rudolf Gysin","Walter Bosshard"
"Hans Werner Widrig","Walter Bosshard"
"Jost Gross","Walter Bosshard"
"Peter Baumberger","Walter Bosshard"
"Rolf Hegetschweiler","Walter Bosshard"
"Ulrich Giezendanner","Walter Bosshard"
"Ernst Hasler","Walter Frey"
"François Loeb","Walter Frey"
"Hans Fehr","Walter Frey"
"Jürg Scherrer","Walter Frey"
"Rolf Hegetschweiler","Walter Frey"
"Simon Schenk","Walter Frey"
"Ulrich Giezendanner","Walter Frey"
"Ulrich Schlüer","Walter Frey"
"Albrecht Rychen","Walter Schmied"
"Claude Frey","Walter Schmied"
"Flavio Maspoli","Walter Schmied"
"Hans Fehr","Walter Schmied"
"Hans Rudolf Gysin","Walter Schmied"
"Josef Kunz","Walter Schmied"
"Jürg Scherrer","Walter Schmied"
"Simon Schenk","Walter Schmied"
"Ulrich Giezendanner","Walter Schmied"
"Bernard Comby","Walter Steinemann"
"Charles Friderici","Walter Steinemann"
"Christian Speck","Walter Steinemann"
"Claude Frey","Walter Steinemann"
"Edi Engelberger","Walter Steinemann"
"Ernst Hasler","Walter Steinemann"
"Flavio Maspoli","Walter Steinemann"
"François Loeb","Walter Steinemann"
"Hans Fehr","Walter Steinemann"
"Hans Ruckstuhl","Walter Steinemann"
"Hans Rudolf Gysin","Walter Steinemann"
"Hans Steffen","Walter Steinemann"
"Hans Werner Widrig","Walter Steinemann"
"Hanspeter Seiler","Walter Steinemann"
"J. Alexander Baumann","Walter Steinemann"
"Jakob Freund","Walter Steinemann"
"Jean-François Leuba","Walter Steinemann"
"Jean-Michel Gros","Walter Steinemann"
"Jean-Pierre Bonny","Walter Steinemann"
"Josef Kunz","Walter Steinemann"
"Jürg Scherrer","Walter Steinemann"
"Karl Tschuppert","Walter Steinemann"
"Luzi Stamm","Walter Steinemann"
"Manfred Aregger","Walter Steinemann"
"Massimo Pini","Walter Steinemann"
"Michael E. Dreher","Walter Steinemann"
"Milli Wittenwiler","Walter Steinemann"
"Oscar Fritschi","Walter Steinemann"
"Otto Hess","Walter Steinemann"
"Peter Weigelt","Walter Steinemann"
"Rémy Scheurer","Walter Steinemann"
"René Moser","Walter Steinemann"
"Roland F. Borer","Walter Steinemann"
"Rolf Hegetschweiler","Walter Steinemann"
"Rudolf Keller","Walter Steinemann"
"Samuel Schmid","Walter Steinemann"
"Simon Schenk","Walter Steinemann"
"Toni Bortoluzzi","Walter Steinemann"
"Toni Brunner","Walter Steinemann"
"Toni Dettling","Walter Steinemann"
"Ulrich Giezendanner","Walter Steinemann"
"Ulrich Schlüer","Walter Steinemann"
"Walter Bosshard","Walter Steinemann"
"Walter Frey","Walter Steinemann"
"Walter Schmied","Walter Steinemann"
"Rosmarie Zapfl","Walter Straumann"
"Alexander Tschäppät","Werner Carobbio"
"Andreas Gross","Werner Carobbio"
"Angeline Fankhauser","Werner Carobbio"
"Anita Thanei","Werner Carobbio"
"Armin Jans","Werner Carobbio"
"Christian Grobet","Werner Carobbio"
"Christine Keller","Werner Carobbio"
"Claude Frey","Werner Carobbio"
"Didier Berberat","Werner Carobbio"
"Flavio Maspoli","Werner Carobbio"
"Franco Cavalli","Werner Carobbio"
"François Borel","Werner Carobbio"
"Jacqueline Fehr","Werner Carobbio"
"Jean-Claude Rennwald","Werner Carobbio"
"Jost Gross","Werner Carobbio"
"Paul Rechsteiner","Werner Carobbio"
"Remo Gysin","Werner Carobbio"
"Rudolf Rechsteiner","Werner Carobbio"
"Rudolf Strahm","Werner Carobbio"
"Ruth-Gaby Vermot-Mangold","Werner Carobbio"
"Ursula Leemann","Werner Carobbio"
"Anita Thanei","Werner Jöri"
"Cécile Bühlmann","Werner Jöri"
"Elmar Ledergerber","Werner Jöri"
"Ernst Leuenberger","Werner Jöri"
"Eugen David","Werner Jöri"
"Fulvio Caccia","Werner Jöri"
"Josef Lötscher","Werner Jöri"
"Liliane Maury Pasquier","Werner Jöri"
"Maria Bernasconi","Werner Jöri"
"Odilo Schmid","Werner Jöri"
"Otto G. Loretan","Werner Jöri"
"Paul Rechsteiner","Werner Jöri"
"Peter Bodenmann","Werner Jöri"
"Rosmarie Dormann","Werner Jöri"
"Rudolf Strahm","Werner Jöri"
"Ursula Hafner","Werner Jöri"
"Anita Thanei","Werner Marti"
"Armin Jans","Werner Marti"
"Barbara Haering","Werner Marti"
"Didier Berberat","Werner Marti"
"François Borel","Werner Marti"
"Hans Zbinden","Werner Marti"
"Jost Gross","Werner Marti"
"Rudolf Strahm","Werner Marti"
"Ruth-Gaby Vermot-Mangold","Werner Marti"
"Markus Ruf","Werner Scherrer"
"Albrecht Rychen","Werner Vetterli"
"Christine Egerszegi-Obrist","Werner Vetterli"
"Ernst Hasler","Werner Vetterli"
"Flavio Maspoli","Werner Vetterli"
"Hans Fehr","Werner Vetterli"
"Hans Rudolf Gysin","Werner Vetterli"
"Josef Kunz","Werner Vetterli"
"Jürg Scherrer","Werner Vetterli"
"Rolf Hegetschweiler","Werner Vetterli"
"Simon Schenk","Werner Vetterli"
"Ulrich Giezendanner","Werner Vetterli"
"Ulrich Schlüer","Werner Vetterli"
"Walter Steinemann","Werner Vetterli"
"Flavio Maspoli","Wilfried Ernest Gusset"
"Hans Fehr","Wilfried Ernest Gusset"
"Hans Rudolf Gysin","Wilfried Ernest Gusset"
"Josef Kunz","Wilfried Ernest Gusset"
"Jürg Scherrer","Wilfried Ernest Gusset"
"Rolf Hegetschweiler","Wilfried Ernest Gusset"
"Simon Schenk","Wilfried Ernest Gusset"
"Ulrich Giezendanner","Wilfried Ernest Gusset"
"Ulrich Schlüer","Wilfried Ernest Gusset"
"Walter Steinemann","Wilfried Ernest Gusset"
"Claude Frey","William Wyss"
"Ernst Hasler","William Wyss"
"Flavio Maspoli","William Wyss"
"Hans Fehr","William Wyss"
"Hans Rudolf Gysin","William Wyss"
"Jürg Scherrer","William Wyss"
"Peter Baumberger","William Wyss"
"Ulrich Giezendanner","William Wyss"
"Claude Frey","Yves Christen"
"Didier Berberat","Yves Christen"
"Jean-Charles Simon","Yves Christen"
"Rémy Scheurer","Yves Christen"
"Simon Epiney","Yves Christen"
"Ulrich Giezendanner","Yves Christen"
"Bernard Comby","Yves Guisan"
"Charles-Albert Antille","Yves Guisan"
"Christiane Langenberger","Yves Guisan"
"Christine Egerszegi-Obrist","Yves Guisan"
"Claude Frey","Yves Guisan"
"Franco Cavalli","Yves Guisan"
"François Lachat","Yves Guisan"
"Fulvio Pelli","Yves Guisan"
"Gerold Bührer","Yves Guisan"
"Hans Fehr","Yves Guisan"
"Hans Rudolf Gysin","Yves Guisan"
"Jean-Charles Simon","Yves Guisan"
"Jean-François Leuba","Yves Guisan"
"Jean-Philippe Maitre","Yves Guisan"
"Jean-Pierre Bonny","Yves Guisan"
"Käthi Bangerter","Yves Guisan"
"Lili Nabholz","Yves Guisan"
"Norbert Hochreutener","Yves Guisan"
"Oscar Fritschi","Yves Guisan"
"Paul Günter","Yves Guisan"
"Peter Tschopp","Yves Guisan"
"Philippe Pidoux","Yves Guisan"
"Remigio Ratti","Yves Guisan"
"Rémy Scheurer","Yves Guisan"
"Simon Epiney","Yves Guisan"
"Suzette Sandoz","Yves Guisan"
"Trix Heberlein","Yves Guisan"
"Ulrich Giezendanner","Yves Guisan"
"Yves Christen","Yves Guisan"
